name;hit_pass;hit_fail;miss_pass;miss_fail
org.gzoltar.examples$CharacterCounter#CharacterCounter():30;3;4;0;0
org.gzoltar.examples$CharacterCounter#CharacterCounter():31;3;4;0;0
org.gzoltar.examples$CharacterCounter#CharacterCounter():32;3;4;0;0
org.gzoltar.examples$CharacterCounter#CharacterCounter():33;3;4;0;0
org.gzoltar.examples$CharacterCounter#CharacterCounter():34;3;4;0;0
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):37;3;4;0;0
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):38;2;4;1;0
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):39;0;4;3;0
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):40;2;4;1;0
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):41;1;2;2;2
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):42;2;3;1;1
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):43;1;3;2;1
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):45;1;0;2;4
org.gzoltar.examples$CharacterCounter#processString(java.lang.String):48;3;4;0;0
org.gzoltar.examples$CharacterCounter#getNumLetters():51;3;4;0;0
org.gzoltar.examples$CharacterCounter#getNumDigits():55;3;0;0;4
org.gzoltar.examples$CharacterCounter#getNumOtherCharacters():59;3;0;0;4
